result,blunders,cpl,moves,captured_by_player,captured_by_ai,estimated_elo
loss,0,49,29,11,0,957
loss,0,0,29,0,0,1200
draw,0,50,60,15,0,1100
draw,0,0,60,0,0,1200
loss,0,47,15,3,0,960
draw,0,0,15,0,0,1200
draw,6,58,80,15,8,1032
draw,6,0,80,0,0,1200
draw,7,59,80,9,7,1021
draw,7,0,80,0,0,1200
draw,1,51,80,10,13,1089
draw,1,0,80,0,0,1200
draw,17,71,80,13,7,909
draw,17,0,80,0,0,1200
loss,5,57,73,7,9,905
draw,5,0,73,0,0,1200
win,3,54,68,15,8,1112
win,3,0,68,0,0,1200
loss,1,54,13,3,1,941
draw,1,0,13,0,0,1200
draw,10,63,80,14,11,987
draw,10,0,80,0,0,1200
loss,9,62,77,9,10,865
draw,9,0,77,0,0,1200
win,5,57,76,15,11,1086
win,5,0,76,0,0,1200
loss,7,59,75,14,10,886
draw,7,0,75,0,0,1200
draw,4,55,80,10,11,1055
draw,4,0,80,0,0,1200
win,7,67,42,12,5,1046
win,7,0,42,0,0,1200
draw,5,56,80,16,10,1044
draw,5,0,80,0,0,1200
draw,8,60,80,12,11,1010
draw,8,0,80,0,0,1200
win,5,59,58,12,11,1082
win,5,0,58,0,0,1200
win,5,61,44,11,3,1078
win,5,0,44,0,0,1200
win,0,50,44,12,1,1150
win,0,0,44,0,0,1200
win,0,50,50,9,3,1150
win,0,0,50,0,0,1200
win,0,50,60,10,3,1150
win,0,0,60,0,0,1200
draw,0,50,80,10,6,1100
draw,0,0,80,0,0,1200
win,0,50,40,8,3,1150
win,0,0,40,0,0,1200
win,0,50,50,9,5,1150
win,0,0,50,0,0,1200
win,0,50,54,10,6,1150
win,0,0,54,0,0,1200
win,1,51,81,12,7,1138
win,1,0,81,0,0,1200
win,0,50,58,12,4,1150
win,0,0,58,0,0,1200
